,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
374,0.007398438453674316,0.0004920520625442358,0.002301478385925293,0.00046212007731031435,poisson,5,150,3,10,"{'criterion': 'poisson', 'max_depth': 5, 'max_features': 150, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.7628008689063261,0.5910698325308135,0.6870903582915622,0.6307914096437386,0.8657919064113494,0.22676155994448377,0.7701362273933425,0.7301872032224996,0.7795360730576015,0.6920428340388347,0.6736208273440552,0.1665739623305176,270
383,0.01600184440612793,0.0006342234568545935,0.0020995378494262696,0.0005378728581867108,poisson,20,,3,10,"{'criterion': 'poisson', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8209892629404913,0.6476254413721502,0.7111508440952765,0.6458286685744994,0.6455273333308307,0.2759965099154662,0.7408546427740442,0.6846905847022808,0.8497387868057137,0.7127024452213635,0.6735104519732117,0.14854500210497695,271
214,0.008397626876831054,0.0004885942114595984,0.002100849151611328,0.000299657673244387,squared_error,50,150,8,5,"{'criterion': 'squared_error', 'max_depth': 50, 'max_features': 150, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6785051420025533,0.6529643266940293,0.7345262978613019,0.6611822789086987,0.8158268855183608,0.08806748525298713,0.7686706440820165,0.8234816514492094,0.7925349623861895,0.7187789855922861,0.6734538659747633,0.20373568834693292,272
735,0.00520014762878418,0.0005995268963176593,0.002102160453796387,0.0003036040281997059,friedman_mse,50,50,8,2,"{'criterion': 'friedman_mse', 'max_depth': 50, 'max_features': 50, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.6444811863062628,0.6791947870327114,0.7530993810534667,0.5493100834123678,0.7440357820590955,0.3416093722433883,0.7731788025972474,0.8041755133687848,0.7234623728724703,0.711969650709438,0.6724516931655233,0.12989900733840198,273
98,0.005299901962280274,0.000458143508798642,0.0019977807998657225,0.0004460289516559855,squared_error,5,100,8,10,"{'criterion': 'squared_error', 'max_depth': 5, 'max_features': 100, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.71697838232359,0.6437580140000339,0.704772370530355,0.5552348757777312,0.7861804575016618,0.4561457288285554,0.80853001851459,0.6603849900489699,0.7597829526262473,0.6297440484052392,0.6721511838556975,0.10267695382892392,274
418,0.008899831771850586,0.0003001058518145702,0.0020015716552734377,0.0004490166514744977,poisson,20,100,3,5,"{'criterion': 'poisson', 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.8835262053360757,0.6390081225449808,0.7381433330225492,0.6980750758025822,0.7091043467103684,0.2884964096012286,0.6726222669771869,0.7570814328724089,0.734066233326442,0.6004341943199649,0.6720557620513787,0.1468167136945229,275
1005,0.03420095443725586,0.0026756007461870013,0.002199673652648926,0.00040005564035850224,absolute_error,50,50,8,2,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 50, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7800747505744164,0.5886166825353357,0.7138232580445163,0.5933937770263795,0.6314585885406544,0.5531478107565442,0.7743062824972939,0.6714629032415649,0.7106357563632952,0.7029114839143051,0.6719831293494306,0.07432738664217518,276
256,0.008102679252624511,0.0005379068232729393,0.0018982887268066406,0.0002996567020068643,squared_error,150,100,3,5,"{'criterion': 'squared_error', 'max_depth': 150, 'max_features': 100, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.7838017331646969,0.7088691623934866,0.469512169614533,0.54469690519144,0.8424874815015515,0.38874058906759423,0.7174162952741834,0.8004880667967494,0.7505189775074761,0.7103439983285292,0.6716875378840241,0.14372702466943715,277
158,0.00990140438079834,0.0007007155482402845,0.001998758316040039,4.216977016348937e-06,squared_error,20,150,3,10,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 150, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8197261458285464,0.6368964442741374,0.6873772825235546,0.4888582578150529,0.6858231299740547,0.42814010773728006,0.7778806751361865,0.8045716595092006,0.768724117978669,0.6186223732316208,0.6716620194008304,0.1254913958455349,278
491,0.016199350357055664,0.0005985817300545581,0.002202010154724121,0.0004002239517420014,poisson,150,,3,10,"{'criterion': 'poisson', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8269527436616128,0.647548831173983,0.7068075064128085,0.6461204237445435,0.6455273333308307,0.2759550331752205,0.7408546427740442,0.6720101687264115,0.844431807172672,0.7103326053696575,0.6716541095541784,0.14831851789816258,279
